127.0.0.1 - - [25/Dec/2023:02:50:14 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/ HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/img/happy-doctor-holding-clipboard-with-patients.jpg HTTP/1.1" 200 1425699
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/img/diversity-team-five-happy-successful-doctor-standing-together.jpg HTTP/1.1" 200 923422
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/img/different-doctors-doing-surgical-procedure-patient.jpg HTTP/1.1" 200 2289426
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/img/4.png HTTP/1.1" 200 152687
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/img/fdoc2.jpg HTTP/1.1" 200 68326
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/img/mdoc1.jpg HTTP/1.1" 200 24428
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/img/mdoc2.jpg HTTP/1.1" 200 58195
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:15 -0800] "GET /Hospital-System/img/fdoc1.jpg HTTP/1.1" 200 51574
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:16 -0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:22 -0800] "GET /Hospital-System/user_appointment.jsp HTTP/1.1" 200 5666
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:22 -0800] "GET /Hospital-System/img/portrait-removebg-preview.png HTTP/1.1" 200 212419
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:22 -0800] "GET /Hospital-System/img/hosb.jpg HTTP/1.1" 200 3922786
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:32 -0800] "GET /Hospital-System/user_login.jsp HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:42 -0800] "POST /Hospital-System/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:42 -0800] "GET /Hospital-System/index.jsp HTTP/1.1" 200 7187
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:45 -0800] "GET /Hospital-System/view_appointment.jsp HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:45 -0800] "GET /Hospital-System/img/hospital.jpg HTTP/1.1" 200 66325
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:53 -0800] "GET /Hospital-System/user_appointment.jsp HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:50:59 -0800] "GET /Hospital-System/view_appointment.jsp HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:13 -0800] "GET /Hospital-System/user_appointment.jsp HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:17 -0800] "GET /Hospital-System/userLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:17 -0800] "GET /Hospital-System/user_login.jsp HTTP/1.1" 200 3246
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:21 -0800] "GET /Hospital-System/admin_login.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:34 -0800] "POST /Hospital-System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:34 -0800] "GET /Hospital-System/admin/index.jsp HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:36 -0800] "GET /Hospital-System/admin/patient.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:42 -0800] "GET /Hospital-System/admin/view_doctor.jsp HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:44 -0800] "GET /Hospital-System/admin/doctor.jsp HTTP/1.1" 200 4776
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:45 -0800] "GET /Hospital-System/admin/doctor.jsp HTTP/1.1" 200 4776
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:46 -0800] "GET /Hospital-System/admin/index.jsp HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:51:49 -0800] "GET /Hospital-System/admin/patient.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:21 -0800] "GET /Hospital-System/adminLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:21 -0800] "GET /Hospital-System/admin_login.jsp HTTP/1.1" 200 3130
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:22 -0800] "GET /Hospital-System/doctor_login.jsp HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:30 -0800] "POST /Hospital-System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:30 -0800] "GET /Hospital-System/doctor/index.jsp HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:33 -0800] "GET /Hospital-System/doctor/patient.jsp HTTP/1.1" 200 3985
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:35 -0800] "GET /Hospital-System/doctor/comment.jsp?id=7 HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:59 -0800] "GET /Hospital-System/doctorLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:52:59 -0800] "GET /Hospital-System/doctor_login.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [25/Dec/2023:02:53:22 -0800] "GET /Hospital-System/index.jsp HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [25/Dec/2023:04:58:08 -0800] "GET /Hospital-System/ HTTP/1.1" 200 6897
0:0:0:0:0:0:0:1 - - [25/Dec/2023:04:58:11 -0800] "GET /Hospital-System/doctor_login.jsp HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [25/Dec/2023:04:58:20 -0800] "POST /Hospital-System/doctorLogin HTTP/1.1" 302 -
